name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kericho, Kenya",2021-01-01,27.4,10,21.3,28.6,9.1,21.3,17.4,78.9,46.1,100,79.17,rain,0,0,28.4,20.5,219.1,1015.8,80.1,10.6,195.1,16.8,8,,2021-01-01T06:38:15,2021-01-01T18:46:45,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2021-01-02,27,18,22.4,28.2,18,22.5,17.5,75.3,1.4,100,33.33,rain,0,0,28.8,24.1,241.3,1016.4,66.4,10,274.4,23.7,10,,2021-01-02T06:38:44,2021-01-02T18:47:13,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999"
"Kericho, Kenya",2021-01-03,28,18,23,28.9,18,23.2,18.2,75.8,0.4,100,12.5,rain,0,0,25.9,24.1,222.8,1016.1,59.4,10,285.3,24.6,10,,2021-01-03T06:39:12,2021-01-03T18:47:40,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2021-01-04,28,13.3,21.5,28.9,13.3,21.7,16,72.3,0,0,0,,0,0,24.8,25.9,210.4,1014.7,63.3,12.9,308.7,26.6,10,,2021-01-04T06:39:39,2021-01-04T18:48:07,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2021-01-05,26.8,13,19.7,26.8,13,19.7,12.5,65,0,0,0,,0,0,28.4,12.6,313.8,1013,59.1,30,286.6,24.7,10,,2021-01-05T06:40:06,2021-01-05T18:48:33,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63708099999,remote"
"Kericho, Kenya",2021-01-06,26.1,14.2,19.9,26.1,14.2,19.9,12.9,66.3,0,0,0,,0,0,27,12.2,356,1013.9,22.3,,253.7,22,9,,2021-01-06T06:40:33,2021-01-06T18:48:59,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Kericho, Kenya",2021-01-07,28.1,13.4,20.8,28.7,13.4,20.9,13.1,63.8,0,0,0,,0,0,25.6,18.4,70.1,1011.8,13.1,16.7,302.1,26.1,10,,2021-01-07T06:41:00,2021-01-07T18:49:25,0.79,Clear,Clear conditions throughout the day.,clear-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2021-01-08,29.4,15.8,22.1,29.9,15.8,22.1,14.7,65,0.5,100,16.67,rain,0,0,29.9,29.5,201,1012.1,48.1,17.3,255.1,22.1,10,,2021-01-08T06:41:25,2021-01-08T18:49:50,0.83,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"63708099999,remote"
"Kericho, Kenya",2021-01-09,20.9,15.3,17.4,20.9,15.3,17.4,14.1,81.7,7.4,100,45.83,rain,0,0,34.2,13.7,357.6,1013.5,78.8,,205.3,17.8,8,,2021-01-09T06:41:51,2021-01-09T18:50:14,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
"Kericho, Kenya",2021-01-10,21.6,15.5,17.5,21.6,15.5,17.5,14.1,81.2,6.2,100,37.5,rain,0,0,33.8,11.5,329.7,1013.9,88.1,,166,14.1,7,,2021-01-10T06:42:16,2021-01-10T18:50:38,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
"Kericho, Kenya",2021-01-11,23.7,13,18.1,23.7,13,18.1,13.8,77.4,2.1,100,29.17,rain,0,0,25.2,9.4,23.5,1013,75,,235,20.3,9,,2021-01-11T06:42:40,2021-01-11T18:51:01,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
"Kericho, Kenya",2021-01-12,23.6,13.9,17.9,23.6,13.9,17.9,14.1,79.9,16.9,100,41.67,rain,0,0,29.5,9.4,59.8,1014.1,74,,205,17.6,9,,2021-01-12T06:43:04,2021-01-12T18:51:24,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
"Kericho, Kenya",2021-01-13,25.9,15.6,19.8,25.9,15.6,19.8,13.3,68.1,1.1,100,33.33,rain,0,0,22,11.2,61.5,1013.2,73.3,,215.6,18.8,9,,2021-01-13T06:43:27,2021-01-13T18:51:46,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
"Kericho, Kenya",2021-01-14,25,16.2,19.4,25,16.2,19.4,13.8,71.3,4.5,100,12.5,rain,0,0,24.8,9,54.5,1013,64.6,,207.5,17.9,8,,2021-01-14T06:43:49,2021-01-14T18:52:07,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
"Kericho, Kenya",2021-01-15,24.6,13.7,19.3,24.6,13.7,19.3,13.9,72.8,4.9,100,29.17,rain,0,0,25.9,9.4,338.8,1013.3,46.3,,261.2,22.6,9,,2021-01-15T06:44:11,2021-01-15T18:52:28,0.07,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,remote
"Kericho, Kenya",2021-01-16,25.2,13.5,18.2,25.2,13.5,18.2,15,82.6,20.9,100,58.33,rain,0,0,29.5,24.1,240.7,1013.3,53.2,30,233.2,20.2,8,,2021-01-16T06:44:33,2021-01-16T18:52:48,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"63708099999,remote"
"Kericho, Kenya",2021-01-17,27.2,12.7,19.3,28,12.7,19.3,15.1,78.3,4.2,100,12.5,rain,0,0,30.6,27.7,241.3,1013,69.7,30.6,259.7,22.6,10,,2021-01-17T06:44:53,2021-01-17T18:53:08,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63708099999,remote"
"Kericho, Kenya",2021-01-18,26,14.6,19.9,26,14.6,19.9,14.2,72.2,0,0,0,,0,0,33.8,15.5,337.1,1012.9,77.1,12.5,296.8,25.8,10,,2021-01-18T06:45:13,2021-01-18T18:53:26,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2021-01-19,25.1,14.2,18.9,25.1,14.2,18.9,12.9,69.7,0.5,100,12.5,rain,0,0,24.1,10.4,60.7,1012.7,48,,250.3,21.5,8,,2021-01-19T06:45:32,2021-01-19T18:53:44,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
