name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kericho, Kenya",2020-01-01,30,10.7,23.2,29.7,10.7,23.2,14.4,60.5,0,0,0,,0,0,20.2,45.7,69.3,1016.4,43.2,15.1,285.2,24.5,10,,2020-01-01T06:37:53,2020-01-01T18:46:23,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,63710099999"
"Kericho, Kenya",2020-01-02,31,14.7,23.1,31,14.7,23.2,15.1,62.2,0.6,100,20.83,rain,0,0,26.6,51.4,128.8,1016.8,40.7,13.9,259.7,22.6,9,,2020-01-02T06:38:22,2020-01-02T18:46:51,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,63710099999"
"Kericho, Kenya",2020-01-03,30,10.7,21.8,29.5,10.7,21.8,14.4,66.2,1,100,20.83,rain,0,0,31.7,43.7,110,1018,49.6,15.9,255.3,22,9,,2020-01-03T06:38:50,2020-01-03T18:47:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,63710099999"
"Kericho, Kenya",2020-01-04,31,12.3,22.4,31.4,12.3,22.4,14.5,63.7,0.1,100,4.17,rain,0,0,24.8,29,148,1016.9,58.3,14.5,273.6,23.6,10,,2020-01-04T06:39:18,2020-01-04T18:47:46,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKKI,63708099999,63710099999,remote"
"Kericho, Kenya",2020-01-05,29,16.6,23.2,29.7,16.6,23.4,16.6,67.9,0.1,100,4.17,rain,0,0,26.3,24.1,244.2,1016.5,63.3,13.3,262.7,22.7,9,,2020-01-05T06:39:45,2020-01-05T18:48:13,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKKI,63708099999,63710099999"
"Kericho, Kenya",2020-01-06,28,13.3,20.7,29.2,13.3,20.8,17.7,84.1,13.4,100,62.5,rain,0,0,25.6,29.5,130.1,1017.4,62,14.8,232.1,20,8,,2020-01-06T06:40:13,2020-01-06T18:48:39,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999,63710099999"
"Kericho, Kenya",2020-01-07,30,10.7,22.5,30.8,10.7,22.8,17.2,74.8,0,0,0,,0,0,29.2,18.4,170.3,1016.4,53.8,14.1,260.8,22.5,9,,2020-01-07T06:40:39,2020-01-07T18:49:05,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,63710099999"
"Kericho, Kenya",2020-01-08,30,12.3,23,30.8,12.3,23.3,17.7,74.3,8.1,100,20.83,rain,0,0,27.7,22.3,244.5,1016.2,45.7,13.4,214.2,18.6,8,,2020-01-08T06:41:05,2020-01-08T18:49:30,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,63710099999,remote"
"Kericho, Kenya",2020-01-09,30,10.3,22.1,30.8,10.3,22.2,17,75.2,9.4,100,50,rain,0,0,28.4,20.5,207.2,1016,37.9,13.1,259.5,22.4,9,,2020-01-09T06:41:31,2020-01-09T18:49:55,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote,63710099999"
"Kericho, Kenya",2020-01-10,28,10.3,21,29.7,10.3,21.2,16.5,76.9,0.7,100,29.17,rain,0,0,28.4,27.7,236.9,1016.5,37.9,16.4,253.3,21.9,9,,2020-01-10T06:41:57,2020-01-10T18:50:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote,63710099999"
