name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kericho, Kenya",2022-01-18,26,17,19.7,26,17,19.7,16.5,82.7,6.9,100,45.83,rain,0,0,30.2,24.1,27.4,1019.1,89.5,13.7,168.7,14.4,6,10,2022-01-18T06:45:09,2022-01-18T18:53:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-19,25,17.6,20.3,25,17.6,20.3,16.9,82.1,0.8,100,25,rain,0,0,33.8,16.6,98.6,1018.5,81.5,13.1,260.6,22.4,9,10,2022-01-19T06:45:28,2022-01-19T18:53:40,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-20,28.1,16.4,21.7,29.7,16.4,21.9,16.2,73.4,0.4,100,4.17,rain,0,0,30.6,24.1,230.5,1016.1,79.6,17.7,295.1,25.7,10,10,2022-01-20T06:45:47,2022-01-20T18:53:58,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-21,32.9,16,22.2,33.3,16,22.3,17.1,74.2,7.5,100,29.17,rain,0,0,29.9,20.5,219.6,1016,91.1,17.4,224.1,19.4,8,10,2022-01-21T06:46:05,2022-01-21T18:54:14,0.62,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-22,27,18,22.5,28.2,18,22.6,17.5,74.7,0.1,100,4.17,rain,0,0,25.6,25.9,254.8,1016.3,77.7,12.1,258.7,22.3,9,10,2022-01-22T06:46:22,2022-01-22T18:54:30,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKKI,63708099999"
"Kericho, Kenya",2022-01-23,28,14,21.9,29.2,14,22.1,16,70.9,0.2,100,8.33,rain,0,0,32.8,35.3,204.6,1015.8,35.9,15.4,291.8,25.1,10,10,2022-01-23T06:46:38,2022-01-23T18:54:45,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-24,27.8,15.4,22,28.7,15.4,22.1,15.6,69.2,0,0,0,,0,0,29.2,31.7,240.1,1013.9,73.2,17.5,284.2,24.7,10,10,2022-01-24T06:46:54,2022-01-24T18:54:59,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-25,30,15.5,23.7,30,15.5,23.5,13.9,57.1,0,0,0,,0,0,27.4,27.7,223.8,1012.2,45.7,14.1,307.3,26.4,10,10,2022-01-25T06:47:09,2022-01-25T18:55:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-26,31,15.9,24,29.8,15.9,23.8,14.3,57.9,0,0,0,,0,0,25.6,22.3,215.5,1013.5,9.8,13.2,325,28.1,10,10,2022-01-26T06:47:23,2022-01-26T18:55:25,0.79,Clear,Clear conditions throughout the day.,clear-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2022-01-27,32,18,24.8,30.8,18,24.6,14.4,55.4,1,100,16.67,rain,0,0,28.8,27.7,209.5,1013.6,31,13.5,291,25.1,10,10,2022-01-27T06:47:36,2022-01-27T18:55:37,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKKI,63708099999"
