name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Nakuru, Kenya",2020-01-18,27.1,15.2,20.2,26.6,15.2,20.1,11.8,61.2,0.3,100,8.33,rain,0,0,34.6,27.7,351.4,1014.2,79.1,30,227.2,19.6,8,,2020-01-18T06:41:57,2020-01-18T18:49:57,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-19,26.6,13.1,19.7,26.6,13.1,19.7,10.7,58.2,0,0,0,,0,0,35.6,27.7,339.2,1014.6,62.6,30,265.4,22.9,9,,2020-01-19T06:42:16,2020-01-19T18:50:15,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63714099999,remote"
"Nakuru, Kenya",2020-01-20,26.1,12.4,19.5,26.1,12.4,19.5,10.6,58.6,0,0,0,,0,0,35.3,22.3,345,1014.9,64.5,30,289.5,25.2,10,,2020-01-20T06:42:35,2020-01-20T18:50:33,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63714099999,remote"
"Nakuru, Kenya",2020-01-21,27.1,11.9,19.3,26.7,11.9,19.3,10.7,59.8,0,0,0,,0,0,34.6,20.5,338.5,1014,36.8,30,264.5,22.6,10,,2020-01-21T06:42:53,2020-01-21T18:50:50,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63714099999,remote"
"Nakuru, Kenya",2020-01-22,27.1,12.6,19.5,26.8,12.6,19.5,11.2,60.4,0,0,0,,0,0,28.8,22.3,344.9,1013.9,59.2,30,234.9,20.2,7,,2020-01-22T06:43:11,2020-01-22T18:51:06,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63714099999,remote"
"Nakuru, Kenya",2020-01-23,24.7,15,19.4,24.7,15,19.4,12.7,66.7,0.8,100,20.83,rain,0,0,28.4,18.4,348.4,1015.3,83.9,30,172.9,14.9,8,,2020-01-23T06:43:28,2020-01-23T18:51:22,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-24,23,15.7,18.6,23,15.7,18.6,13.1,71.4,2.1,100,25,rain,0,0,28.1,14.8,329.8,1016.8,92.1,30,199.8,17.2,9,,2020-01-24T06:43:44,2020-01-24T18:51:36,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-25,25.6,14.5,19.3,25.6,14.5,19.3,13.5,70.7,0.1,100,4.17,rain,0,0,33.8,27.7,358.4,1017.1,93.5,30,196.8,17.1,7,,2020-01-25T06:43:59,2020-01-25T18:51:50,0,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-26,23.1,14.9,18.5,23.1,14.9,18.5,14.4,78,2.8,100,20.83,rain,0,0,34.6,22.3,348.7,1017.2,93.1,30,169.4,14.5,7,,2020-01-26T06:44:13,2020-01-26T18:52:03,0.05,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"63714099999,remote"
"Nakuru, Kenya",2020-01-27,26.1,14.2,18,26.1,14.2,18,14.6,82.1,2.4,100,41.67,rain,0,0,33.1,20.5,338.6,1017,89.2,30,158.8,13.8,7,,2020-01-27T06:44:27,2020-01-27T18:52:16,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"63714099999,remote"
