name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kericho, Kenya",2023-01-01,29.9,15.5,23.1,28.9,15.5,23,12.1,51.7,0,0,0,,0,0,27,14.8,63.1,1015.8,27.9,15.5,298.9,25.9,10,10,2023-01-01T06:38:03,2023-01-01T18:46:32,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2023-01-02,29,15.3,23,28.6,15.3,22.9,13.4,56.6,0,0,0,,0,0,31.3,16.6,208,1016.1,24.8,13,267.1,22.9,9,10,2023-01-02T06:38:31,2023-01-02T18:47:00,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2023-01-03,27,18,21.7,27.7,18,21.7,15.6,68.6,0.2,100,8.33,rain,0,0,32,33.5,4.4,1017.3,53,12,224,19.4,7,10,2023-01-03T06:38:59,2023-01-03T18:47:28,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKKI,63708099999"
"Kericho, Kenya",2023-01-04,29,16.8,23.2,28.4,16.8,23.1,13.1,54.4,0,0,0,,0,0,36.7,15.5,69.2,1016.1,42.8,15.2,250,21.4,8,10,2023-01-04T06:39:27,2023-01-04T18:47:55,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2023-01-05,30,13.6,23.6,29,13.6,23.3,10.7,46.7,0,0,0,,0,0,38.5,22.3,60.1,1015.4,29.2,16,283.9,24.5,10,10,2023-01-05T06:39:54,2023-01-05T18:48:21,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2023-01-06,30,14.7,23.3,29.2,14.7,23.1,12,51.2,0,0,0,,0,0,29.2,18.4,262.3,1016.4,22.5,12.8,291.1,25,10,10,2023-01-06T06:40:21,2023-01-06T18:48:48,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999"
"Kericho, Kenya",2023-01-07,30.1,18.8,24.6,29.4,18.8,24.4,12.7,48.6,0,0,0,,0,0,28.1,18.4,203.4,1015.9,34.7,12.6,276.9,23.9,10,10,2023-01-07T06:40:48,2023-01-07T18:49:13,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999"
"Kericho, Kenya",2023-01-08,30,17.5,23.8,29.5,17.5,23.7,15.4,61.9,0,0,0,,0,0,19.1,27.7,249.2,1015.6,37.3,14.8,226,19.6,8,10,2023-01-08T06:41:14,2023-01-08T18:49:39,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2023-01-09,29,14,21.6,29.5,14,21.6,16.2,73.5,0.2,100,8.33,rain,0,0,20.9,46.4,325.4,1016.7,50.3,15.1,262.7,22.5,8,10,2023-01-09T06:41:40,2023-01-09T18:50:03,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"HKKI,63708099999,remote"
"Kericho, Kenya",2023-01-10,28.9,17.8,22.4,28.7,17.8,22.3,15.7,69.3,0,0,0,rain,0,0,29.9,18.4,297.5,1016.9,45.2,19,271,23.5,10,10,2023-01-10T06:42:05,2023-01-10T18:50:27,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKKI,63708099999,remote"
"Kericho, Kenya",2023-01-11,28.4,13.3,21.9,28.4,13.3,21.8,15,69.6,1.1,100,16.67,rain,0,0,29.2,25.9,260.2,1015.1,43.1,21.3,292,25.2,10,10,2023-01-11T06:42:29,2023-01-11T18:50:51,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"HKKI,63708099999,remote"
